('05', '08', '11', '17', '29', '43'):1
('03', '11', '13', '23', '32', '47'):1
('07', '10', '13', '15', '35', '38'):1
('01', '30', '40', '43', '45', '48'):1
('05', '10', '12', '22', '34', '35'):1
('18', '22', '23', '25', '42', '44'):1
('04', '05', '16', '18', '21', '36'):1
('08', '26', '42', '46', '48', '49'):1
('04', '13', '31', '41', '43', '48'):1
('03', '10', '33', '35', '43', '44'):1
('05', '06', '08', '26', '39', '40'):1
('01', '02', '06', '25', '31', '44'):1
('02', '03', '12', '16', '32', '40'):1
('02', '11', '27', '29', '31', '48'):1
('01', '17', '25', '29', '30', '40'):1
('01', '11', '22', '28', '38', '44'):1
('06', '07', '15', '27', '32', '40'):1
('01', '08', '10', '12', '26', '27'):1
('19', '21', '28', '32', '43', '48'):1
('01', '12', '13', '23', '40', '43'):1
('01', '12', '21', '35', '44', '45'):1
('08', '11', '12', '18', '36', '44'):1
('12', '17', '23', '27', '37', '40'):1
('03', '08', '24', '31', '32', '49'):1
('06', '07', '11', '28', '38', '45'):1
('02', '13', '14', '29', '43', '45'):1
('05', '11', '20', '32', '35', '43'):1
('11', '13', '17', '26', '34', '48'):1
('03', '11', '17', '41', '45', '47'):1
('03', '10', '28', '35', '47', '49'):1
('27', '30', '34', '43', '46', '49'):1
('02', '12', '18', '34', '37', '46'):1
('06', '11', '20', '26', '38', '46'):1
('03', '05', '22', '33', '39', '40'):1
('02', '06', '11', '33', '37', '46'):1
('06', '23', '30', '33', '37', '44'):1
('06', '10', '24', '27', '32', '45'):1
('04', '15', '17', '19', '24', '37'):1
('12', '17', '19', '27', '32', '48'):1
('04', '11', '19', '40', '46', '49'):1
('04', '10', '12', '14', '17', '47'):1
('15', '24', '31', '38', '41', '46'):1
('05', '06', '08', '10', '29', '37'):1
('05', '30', '33', '37', '41', '42'):1
('12', '15', '20', '41', '43', '47'):1
('03', '18', '26', '37', '39', '42'):1
('07', '08', '15', '16', '34', '35'):1
('11', '28', '34', '38', '46', '49'):1
('10', '22', '30', '36', '45', '47'):1
('21', '22', '32', '33', '38', '42'):1
('02', '11', '13', '14', '28', '46'):1
('12', '20', '23', '24', '44', '48'):1
('06', '20', '22', '30', '46', '47'):1
('01', '13', '18', '19', '39', '45'):1
('02', '06', '29', '38', '40', '46'):1
('11', '15', '25', '40', '47', '48'):1
('13', '14', '15', '32', '40', '49'):1
('10', '23', '25', '31', '40', '46'):1
('03', '04', '20', '24', '29', '49'):1
('01', '06', '25', '35', '36', '41'):1
('13', '16', '24', '30', '38', '48'):1
('25', '27', '33', '36', '41', '45'):1
('01', '15', '20', '33', '46', '47'):1
('02', '03', '08', '21', '27', '41'):1
('01', '02', '11', '21', '22', '44'):1
('01', '07', '21', '27', '38', '46'):1
('07', '11', '22', '23', '26', '30'):1
('12', '14', '21', '30', '37', '40'):1
('01', '19', '21', '28', '45', '48'):1
('11', '17', '30', '39', '45', '49'):1
('18', '19', '26', '35', '46', '49'):1
('05', '11', '19', '27', '34', '46'):1
('02', '03', '12', '16', '29', '37'):1
('16', '17', '23', '24', '39', '42'):1
('09', '14', '19', '43', '44', '48'):1
('11', '19', '22', '26', '28', '30'):1
('05', '17', '21', '23', '42', '46'):1
('03', '07', '15', '37', '38', '46'):1
('01', '06', '41', '47', '48', '49'):1
('08', '13', '24', '32', '39', '42'):1
('01', '16', '25', '28', '33', '38'):1
('03', '10', '12', '23', '35', '39'):1
('12', '19', '24', '39', '40', '42'):1
('11', '19', '25', '26', '29', '30'):1
('03', '09', '13', '15', '25', '28'):1
('10', '14', '17', '33', '39', '46'):1
('01', '09', '16', '20', '28', '31'):1
('04', '08', '13', '19', '32', '46'):1
('04', '06', '12', '16', '25', '43'):1
('12', '20', '28', '36', '39', '45'):1
('01', '24', '30', '41', '45', '46'):1
('02', '03', '04', '07', '21', '38'):1
('12', '20', '22', '23', '30', '44'):1
('06', '07', '14', '15', '25', '43'):1
('18', '19', '28', '45', '46', '49'):1
('18', '21', '32', '36', '45', '46'):1
('01', '08', '10', '16', '26', '32'):1
('01', '02', '07', '08', '11', '42'):1
('09', '17', '21', '31', '34', '41'):1
('11', '14', '19', '24', '39', '43'):1
('24', '37', '40', '41', '43', '46'):1
('11', '15', '21', '25', '38', '44'):1
('03', '28', '30', '31', '36', '41'):1
('03', '10', '13', '30', '33', '47'):1
('17', '20', '27', '29', '35', '40'):1
('16', '36', '41', '47', '48', '49'):1
('02', '04', '06', '31', '39', '42'):1
('08', '09', '18', '30', '33', '49'):1
('02', '18', '20', '35', '43', '44'):1
('03', '08', '12', '22', '29', '49'):1
('06', '20', '30', '36', '41', '49'):1
('09', '11', '14', '35', '45', '47'):1
('07', '13', '36', '39', '48', '49'):1
('01', '08', '10', '32', '38', '40'):1
('03', '29', '33', '43', '47', '48'):1
('02', '14', '16', '23', '31', '49'):1
('04', '06', '17', '18', '36', '38'):1
('07', '31', '32', '37', '38', '47'):1
('09', '23', '24', '28', '35', '41'):1
('04', '08', '13', '16', '39', '46'):1
('11', '15', '16', '21', '27', '33'):1
('05', '14', '18', '30', '46', '48'):1
('01', '02', '07', '17', '38', '49'):1
('11', '23', '35', '38', '46', '49'):1
('04', '05', '11', '23', '40', '44'):1
('01', '11', '15', '23', '27', '30'):1
('08', '09', '32', '34', '39', '47'):1
('18', '19', '30', '34', '43', '45'):1
('01', '08', '09', '20', '43', '45'):1
('02', '05', '21', '24', '28', '44'):1
('07', '08', '22', '23', '30', '48'):1
('05', '18', '20', '22', '30', '37'):1
('09', '12', '14', '24', '37', '40'):1
('11', '13', '20', '24', '35', '38'):1
('01', '04', '12', '33', '44', '47'):1
('13', '29', '35', '37', '41', '49'):1
('12', '21', '28', '30', '38', '42'):1
('04', '07', '32', '34', '46', '49'):1
('08', '13', '23', '38', '42', '48'):1
('06', '11', '12', '25', '31', '43'):1
('07', '14', '16', '36', '37', '47'):1
('14', '18', '20', '25', '38', '44'):1
('13', '20', '22', '29', '30', '48'):1
('04', '12', '13', '24', '35', '43'):1
('18', '27', '37', '41', '42', '49'):1
('02', '03', '10', '38', '40', '43'):1
('01', '21', '22', '25', '28', '30'):1
('11', '16', '23', '32', '34', '49'):1
('01', '10', '21', '23', '33', '47'):1
('06', '30', '32', '37', '39', '44'):1
('12', '20', '22', '26', '34', '40'):1
('08', '18', '31', '36', '41', '43'):1
('01', '25', '27', '36', '39', '42'):1
('02', '16', '36', '38', '44', '49'):1
('03', '10', '11', '15', '21', '37'):1
('09', '18', '22', '23', '34', '35'):1
('02', '08', '25', '29', '32', '37'):1
('02', '08', '22', '33', '37', '42'):1
('08', '09', '10', '25', '26', '31'):1
('09', '28', '31', '36', '43', '46'):1
('02', '11', '30', '42', '48', '49'):1
('02', '03', '31', '32', '34', '39'):1
('04', '17', '32', '33', '35', '37'):1
('03', '05', '18', '22', '25', '30'):1
('20', '26', '33', '38', '40', '48'):1
('10', '22', '28', '34', '39', '41'):1
('08', '15', '23', '35', '36', '37'):1
('04', '15', '22', '30', '32', '41'):1
('25', '26', '28', '30', '31', '40'):1
('15', '24', '29', '31', '36', '41'):1
('05', '08', '30', '34', '39', '41'):1
('04', '07', '14', '38', '39', '42'):1
('10', '11', '24', '28', '30', '39'):1
('17', '24', '29', '31', '33', '43'):1
('01', '10', '13', '14', '18', '24'):1
('08', '12', '18', '37', '47', '49'):1
('08', '14', '24', '28', '33', '49'):1
('05', '17', '24', '26', '30', '44'):1
('03', '12', '13', '18', '38', '44'):1
('02', '05', '07', '09', '20', '24'):1
('02', '12', '22', '31', '33', '44'):1
('17', '23', '29', '30', '31', '37'):1
('09', '12', '19', '24', '32', '40'):1
('23', '27', '30', '37', '39', '46'):1
('03', '18', '27', '28', '32', '45'):1
('02', '06', '08', '21', '26', '43'):1
('07', '19', '38', '41', '43', '46'):1
('16', '19', '25', '26', '33', '46'):1
('02', '04', '08', '22', '24', '39'):1
('16', '20', '28', '36', '40', '44'):1
('02', '32', '37', '44', '45', '49'):1
('02', '18', '40', '42', '43', '46'):1
('02', '06', '09', '16', '17', '45'):1
('10', '21', '26', '33', '34', '47'):1
('03', '12', '21', '37', '42', '47'):1
('04', '18', '23', '26', '28', '37'):1
('09', '11', '12', '20', '27', '43'):1
('11', '17', '18', '29', '38', '40'):1
('03', '06', '14', '41', '43', '45'):1
('01', '06', '07', '15', '35', '39'):1
('15', '18', '30', '39', '45', '46'):1
('05', '14', '17', '41', '42', '49'):1
('03', '06', '35', '36', '39', '49'):1
('02', '08', '09', '12', '44', '47'):1
('05', '06', '19', '40', '41', '43'):1
('24', '30', '31', '32', '43', '47'):1
('13', '17', '19', '20', '22', '29'):1
('10', '15', '16', '19', '20', '48'):1
('04', '12', '14', '30', '42', '43'):1
('03', '05', '12', '34', '46', '49'):1
('21', '33', '36', '38', '45', '47'):1
('07', '13', '22', '26', '36', '49'):1
('03', '07', '33', '37', '47', '49'):1
('03', '14', '18', '23', '28', '45'):1
('05', '15', '17', '23', '33', '37'):1
('11', '14', '22', '26', '38', '44'):1
('04', '05', '14', '16', '45', '49'):1
('09', '23', '27', '33', '38', '44'):1
('01', '02', '09', '18', '38', '48'):1
('03', '12', '19', '26', '42', '48'):1
('11', '17', '27', '29', '40', '45'):1
('09', '11', '14', '23', '28', '47'):1
('04', '13', '19', '22', '24', '27'):1
('05', '06', '12', '17', '24', '32'):1
('09', '13', '30', '36', '37', '45'):1
('13', '15', '18', '22', '41', '48'):1
('06', '14', '30', '41', '43', '49'):1
('05', '11', '22', '29', '32', '37'):1
('07', '12', '18', '27', '32', '34'):1
('04', '07', '12', '14', '15', '49'):1
('05', '13', '14', '19', '20', '37'):1
('03', '12', '22', '23', '25', '43'):1
('11', '20', '23', '28', '31', '43'):1
('02', '12', '27', '33', '38', '41'):1
('02', '17', '19', '20', '21', '26'):1
('10', '29', '31', '36', '38', '46'):1
('04', '15', '25', '30', '39', '44'):1
('01', '04', '17', '27', '34', '49'):1
('17', '31', '35', '36', '48', '49'):1
('01', '15', '18', '34', '45', '46'):1
('04', '07', '22', '29', '30', '40'):1
('04', '23', '32', '36', '37', '46'):1
('09', '13', '27', '28', '31', '34'):1
('02', '03', '18', '33', '36', '41'):1
('03', '06', '07', '21', '34', '49'):1
('05', '24', '34', '45', '47', '49'):1
('01', '03', '24', '27', '36', '46'):1
('07', '09', '12', '13', '29', '48'):1
('09', '16', '27', '35', '43', '46'):1
('13', '15', '30', '32', '41', '45'):1
('11', '13', '16', '18', '43', '45'):1
('21', '33', '35', '37', '41', '42'):1
('01', '19', '33', '38', '43', '47'):1
('12', '25', '31', '32', '36', '49'):1
('04', '09', '37', '38', '40', '43'):1
('16', '23', '33', '38', '47', '49'):1
('12', '16', '23', '27', '28', '41'):1
('13', '24', '28', '30', '43', '44'):1
('12', '15', '16', '19', '20', '39'):1
('01', '02', '04', '05', '26', '36'):1
('17', '20', '28', '34', '35', '45'):1
('12', '15', '28', '37', '42', '49'):1
('07', '12', '15', '23', '39', '46'):1
('07', '09', '34', '43', '44', '47'):1
('01', '10', '31', '32', '34', '45'):1
('02', '09', '20', '39', '42', '48'):1
('02', '11', '27', '32', '35', '40'):1
('28', '30', '32', '33', '37', '42'):1
('05', '07', '26', '32', '44', '45'):1
('07', '33', '35', '36', '39', '40'):1
('08', '09', '12', '20', '34', '41'):1
('10', '22', '34', '37', '38', '47'):1
('20', '22', '29', '32', '45', '48'):1
('02', '11', '14', '21', '30', '48'):1
('07', '13', '19', '30', '33', '41'):1
('05', '06', '40', '45', '46', '48'):1
('06', '07', '12', '23', '37', '49'):1
('08', '17', '20', '29', '35', '37'):1
('04', '28', '29', '33', '42', '47'):1
('20', '23', '28', '29', '36', '37'):1
('06', '10', '21', '24', '33', '36'):1
('14', '15', '30', '34', '37', '48'):1
('11', '17', '19', '34', '35', '41'):1
('10', '24', '27', '38', '45', '48'):1
('01', '08', '14', '25', '30', '36'):1
('07', '10', '37', '45', '47', '49'):1
('07', '30', '31', '34', '35', '46'):1
('06', '12', '33', '35', '38', '45'):1
('03', '07', '09', '11', '15', '18'):1
('01', '03', '08', '09', '29', '36'):1
('13', '15', '20', '25', '28', '49'):1
('01', '17', '32', '37', '43', '45'):1
('04', '12', '21', '29', '35', '38'):1
('08', '16', '22', '23', '32', '48'):1
('01', '02', '03', '07', '14', '20'):1
('10', '21', '26', '33', '40', '45'):1
('06', '07', '23', '26', '31', '49'):1
('08', '10', '11', '23', '28', '38'):1
('04', '22', '26', '27', '31', '33'):1
('20', '34', '35', '36', '40', '45'):1
('01', '02', '04', '17', '23', '31'):1
('05', '26', '29', '36', '38', '45'):1
('08', '10', '14', '27', '35', '36'):1
('04', '12', '14', '16', '39', '41'):1
('04', '09', '17', '23', '34', '38'):1
('03', '04', '19', '20', '21', '36'):1
('01', '13', '28', '30', '35', '39'):1
('14', '18', '35', '37', '46', '47'):1
('01', '10', '30', '35', '39', '44'):1
('11', '16', '27', '41', '45', '49'):1
('10', '17', '26', '38', '39', '47'):1
('06', '21', '30', '31', '36', '39'):1
('06', '07', '12', '18', '26', '42'):1
('03', '10', '13', '34', '38', '39'):1
('09', '24', '30', '37', '42', '49'):1
('03', '14', '31', '36', '38', '44'):1
('09', '16', '17', '34', '44', '45'):1
('12', '18', '24', '28', '38', '48'):1
('09', '14', '21', '25', '26', '42'):1
('12', '15', '16', '44', '45', '46'):1
('02', '10', '12', '21', '37', '40'):1
('08', '16', '21', '32', '40', '42'):1
('01', '06', '10', '16', '23', '36'):1
('04', '05', '21', '32', '35', '47'):1
('04', '10', '17', '22', '35', '48'):1
('06', '22', '29', '32', '38', '40'):1
('09', '12', '14', '16', '38', '46'):1
('04', '06', '21', '26', '33', '40'):1
('01', '16', '20', '30', '38', '43'):1
('01', '03', '09', '11', '29', '31'):1
('01', '09', '13', '24', '29', '39'):1
('13', '15', '18', '33', '39', '45'):1
('16', '17', '31', '32', '41', '42'):1
('07', '13', '15', '27', '37', '44'):1
('01', '07', '12', '13', '15', '17'):1
('10', '15', '24', '30', '39', '45'):1
('05', '08', '22', '24', '28', '44'):1
('23', '25', '29', '36', '37', '48'):1
('04', '06', '07', '12', '18', '39'):1
('14', '22', '23', '26', '27', '29'):1
('06', '16', '38', '44', '45', '46'):1
('13', '14', '17', '36', '38', '41'):1
('04', '15', '16', '22', '30', '41'):1
('01', '02', '22', '34', '35', '39'):1
('01', '03', '15', '24', '43', '44'):1
('02', '06', '12', '24', '44', '47'):1
('07', '08', '31', '33', '34', '47'):1
('03', '09', '13', '24', '32', '49'):1
('10', '22', '32', '35', '36', '47'):1
('01', '16', '24', '29', '31', '43'):1
('05', '08', '25', '34', '37', '44'):1
('01', '23', '30', '41', '43', '49'):1
('02', '03', '19', '20', '29', '37'):1
('29', '32', '34', '42', '44', '46'):1
('01', '04', '09', '11', '38', '48'):1
('03', '15', '23', '26', '34', '38'):1
('02', '03', '07', '10', '21', '38'):1
('02', '05', '31', '33', '43', '49'):1
('02', '27', '29', '34', '35', '40'):1
('12', '21', '22', '36', '47', '49'):1
('04', '08', '34', '36', '37', '44'):1
('13', '15', '26', '39', '41', '43'):1
('07', '08', '17', '21', '33', '37'):1
('04', '10', '12', '14', '15', '29'):1
('06', '19', '22', '24', '30', '31'):1
('02', '11', '16', '20', '23', '41'):1
('08', '09', '14', '19', '22', '32'):1
('10', '17', '18', '42', '45', '47'):1
('01', '06', '10', '30', '42', '49'):1
('09', '18', '20', '29', '33', '47'):1
('03', '10', '12', '15', '21', '46'):1
('05', '07', '12', '23', '38', '43'):1
('04', '10', '18', '19', '21', '39'):1
('07', '08', '12', '29', '34', '36'):1
('01', '25', '26', '38', '41', '49'):1
('07', '14', '20', '26', '30', '44'):1
('03', '06', '29', '41', '43', '44'):1
('01', '02', '05', '09', '17', '31'):1
('02', '13', '14', '24', '35', '38'):1
('09', '15', '16', '23', '31', '40'):1
('05', '06', '09', '15', '26', '41'):1
('05', '06', '07', '27', '43', '47'):1
('02', '09', '23', '34', '38', '45'):1
('02', '05', '10', '31', '42', '45'):1
('16', '20', '31', '33', '34', '45'):1
('05', '06', '12', '29', '35', '38'):1
('01', '03', '27', '42', '47', '48'):1
('07', '09', '11', '12', '33', '40'):1
('05', '07', '08', '10', '44', '49'):1
('03', '21', '24', '37', '41', '44'):1
('10', '18', '34', '40', '43', '45'):1
('01', '02', '12', '15', '23', '39'):1
('17', '19', '34', '39', '41', '45'):1
('03', '10', '13', '20', '24', '48'):1
('11', '16', '27', '39', '40', '48'):1
('01', '11', '14', '25', '28', '47'):1
('01', '14', '17', '20', '31', '44'):1
('18', '19', '31', '39', '40', '43'):1
('01', '06', '10', '16', '18', '20'):1
('01', '03', '04', '14', '28', '30'):1
('16', '18', '24', '27', '30', '49'):1
('10', '25', '28', '30', '31', '48'):1
('06', '10', '21', '30', '37', '40'):1
('12', '13', '19', '29', '36', '40'):1
('04', '07', '09', '40', '41', '45'):1
('21', '31', '40', '42', '47', '49'):1
('03', '15', '31', '34', '38', '44'):1
('10', '12', '16', '20', '26', '29'):1
('10', '17', '24', '37', '40', '43'):1
('14', '25', '29', '40', '42', '47'):1
('07', '14', '17', '21', '26', '40'):1
('32', '33', '35', '37', '39', '41'):1
('04', '06', '07', '20', '35', '44'):1
('07', '09', '14', '21', '26', '42'):1
('06', '09', '22', '31', '42', '44'):1
('04', '17', '26', '28', '31', '37'):1
('06', '07', '21', '26', '33', '44'):1
('04', '06', '38', '40', '48', '49'):1
('01', '02', '16', '27', '30', '33'):1
('13', '17', '42', '43', '45', '48'):1
('01', '07', '13', '42', '44', '49'):1
('02', '06', '15', '39', '40', '45'):1
('05', '13', '19', '25', '27', '44'):1
('01', '11', '17', '24', '37', '48'):1
('15', '19', '23', '26', '33', '49'):1
('01', '05', '07', '22', '35', '43'):1
('07', '15', '19', '23', '43', '45'):1
('18', '27', '30', '40', '41', '45'):1
('11', '18', '24', '31', '35', '41'):1
('07', '08', '23', '30', '35', '45'):1
('05', '06', '10', '18', '40', '46'):1
('03', '09', '20', '22', '35', '48'):1
('10', '17', '24', '28', '38', '42'):1
('04', '09', '11', '20', '28', '41'):1
('08', '12', '17', '18', '34', '36'):1
('04', '10', '13', '26', '39', '48'):1
('08', '18', '29', '31', '43', '47'):1
('01', '04', '10', '18', '26', '31'):1
('10', '24', '25', '28', '30', '37'):1
('02', '07', '17', '23', '34', '46'):1
('10', '19', '22', '23', '30', '35'):1
('01', '06', '17', '21', '36', '46'):1
('13', '18', '23', '32', '39', '49'):1
('26', '29', '31', '35', '38', '39'):1
('02', '03', '11', '27', '41', '45'):1
('01', '23', '30', '33', '46', '47'):1
('05', '19', '21', '30', '34', '48'):1
('09', '14', '22', '28', '35', '42'):1
('06', '07', '09', '16', '19', '34'):1
('03', '20', '24', '28', '32', '49'):1
('09', '12', '21', '38', '45', '47'):1
('03', '09', '13', '24', '40', '46'):1
('02', '11', '22', '25', '44', '47'):1
('15', '23', '29', '33', '39', '47'):1
('25', '32', '35', '38', '46', '48'):1
('18', '22', '26', '30', '31', '43'):1
('18', '27', '33', '40', '47', '48'):1
('02', '05', '10', '19', '24', '31'):1
('12', '17', '19', '29', '38', '41'):1
('04', '22', '25', '28', '37', '46'):1
('13', '15', '17', '21', '44', '47'):1
('22', '23', '33', '40', '41', '43'):1
('16', '22', '23', '27', '43', '44'):1
('03', '10', '20', '31', '39', '44'):1
('06', '21', '32', '41', '46', '47'):1
('01', '05', '09', '10', '23', '44'):1
('01', '30', '31', '44', '46', '48'):1
('11', '15', '18', '22', '30', '49'):1
('10', '11', '13', '19', '25', '49'):1
('02', '15', '18', '26', '32', '45'):1
('18', '24', '29', '32', '39', '49'):1
('06', '08', '23', '31', '33', '40'):1
('09', '10', '13', '21', '24', '28'):1
('05', '13', '16', '28', '45', '46'):1
('05', '33', '35', '40', '45', '46'):1
('08', '11', '37', '39', '41', '45'):1
('07', '11', '23', '30', '32', '34'):1
('11', '21', '27', '33', '40', '41'):1
('13', '18', '26', '35', '47', '49'):1
('08', '09', '11', '20', '24', '32'):1
('16', '19', '30', '32', '36', '47'):1
('01', '18', '30', '32', '42', '44'):1
('04', '16', '18', '29', '31', '32'):1
('18', '19', '25', '31', '40', '41'):1
('17', '23', '40', '42', '47', '49'):1
('04', '14', '18', '27', '36', '43'):1
('09', '10', '33', '37', '38', '46'):1
('07', '27', '29', '31', '37', '47'):1
('06', '27', '30', '34', '42', '44'):1
('08', '22', '32', '33', '35', '39'):1
('02', '06', '12', '24', '25', '33'):1
('11', '17', '20', '36', '38', '40'):1
('03', '08', '22', '30', '45', '47'):1
('05', '07', '12', '19', '38', '46'):1
('01', '03', '08', '21', '32', '33'):1
('04', '05', '08', '12', '15', '43'):1
('07', '20', '24', '29', '39', '49'):1
('10', '23', '28', '35', '38', '39'):1
('07', '19', '24', '39', '46', '47'):1
('04', '09', '30', '32', '39', '48'):1
('02', '05', '09', '15', '38', '47'):1
('05', '12', '14', '16', '26', '46'):1
('15', '16', '31', '43', '45', '49'):1
('21', '22', '25', '30', '44', '48'):1
('06', '18', '27', '29', '35', '44'):1
('05', '09', '18', '20', '35', '49'):1
('03', '12', '13', '24', '30', '34'):1
('05', '21', '30', '33', '39', '47'):1
('16', '19', '32', '33', '35', '38'):1
('02', '16', '19', '26', '46', '49'):1
('04', '06', '15', '22', '30', '40'):1
('10', '14', '18', '22', '25', '26'):1
('01', '03', '13', '21', '34', '35'):1
('14', '16', '26', '31', '43', '46'):1
('11', '17', '20', '28', '31', '39'):1
('08', '16', '28', '29', '30', '33'):1
('04', '11', '21', '22', '40', '41'):1
('01', '02', '20', '22', '28', '47'):1
('02', '35', '40', '42', '43', '45'):1
('03', '06', '10', '25', '42', '49'):1
('04', '05', '22', '32', '34', '46'):1
('15', '27', '31', '40', '47', '49'):1
('12', '14', '18', '20', '32', '44'):1
('09', '21', '24', '31', '33', '34'):1
('11', '19', '23', '35', '47', '48'):1
('17', '28', '39', '44', '45', '47'):1
('04', '11', '27', '36', '39', '40'):1
('12', '20', '32', '33', '43', '47'):1
('02', '23', '24', '30', '31', '37'):1
('01', '08', '09', '27', '29', '43'):1
('03', '18', '22', '23', '34', '49'):1
('07', '09', '13', '14', '18', '37'):1
('18', '22', '27', '37', '44', '47'):1
('03', '14', '20', '24', '30', '34'):1
('12', '17', '29', '36', '37', '45'):1
('03', '08', '09', '20', '32', '45'):1
('07', '18', '19', '32', '33', '45'):1
('03', '17', '20', '38', '41', '47'):1
('08', '10', '14', '34', '39', '48'):1
('04', '16', '31', '33', '34', '45'):1
('10', '28', '35', '43', '44', '45'):1
('02', '25', '26', '36', '37', '40'):1
('01', '10', '15', '17', '34', '49'):1
('05', '08', '25', '27', '43', '45'):1
('02', '14', '30', '33', '38', '45'):1
('09', '10', '12', '21', '24', '46'):1
('03', '24', '34', '35', '36', '48'):1
('09', '26', '28', '37', '43', '46'):1
('05', '06', '30', '32', '44', '45'):1
('05', '07', '16', '18', '26', '49'):1
('05', '06', '16', '24', '43', '49'):1
('11', '16', '25', '39', '40', '47'):1
('17', '29', '35', '46', '47', '48'):1
('01', '04', '05', '28', '45', '49'):1
('02', '11', '13', '20', '27', '30'):1
('11', '21', '22', '26', '37', '40'):1
('02', '17', '29', '30', '37', '40'):1
('05', '07', '29', '30', '33', '48'):1
('05', '13', '19', '26', '38', '49'):1
('12', '18', '19', '29', '30', '40'):1
('11', '13', '14', '15', '16', '36'):1
('06', '09', '22', '42', '43', '49'):1
('06', '07', '11', '18', '38', '42'):1
('01', '11', '21', '33', '34', '44'):1
('06', '09', '10', '21', '23', '25'):1
('08', '12', '23', '28', '32', '33'):1
('08', '11', '21', '22', '37', '44'):1
('11', '21', '25', '27', '42', '45'):1
('07', '19', '20', '23', '28', '45'):1
('01', '29', '33', '39', '40', '45'):1
('03', '07', '18', '26', '37', '44'):1
('04', '12', '14', '40', '41', '44'):1
('06', '08', '22', '27', '33', '38'):1
('09', '14', '16', '21', '26', '47'):1
('02', '06', '07', '09', '22', '35'):1
('12', '19', '21', '35', '37', '40'):1
('02', '07', '08', '26', '30', '40'):1
('11', '19', '22', '32', '40', '44'):1
('08', '25', '26', '36', '42', '47'):1
('02', '14', '15', '25', '44', '49'):1
('03', '07', '15', '22', '28', '31'):1
('18', '34', '41', '43', '44', '45'):1
('06', '16', '22', '32', '33', '49'):1
('02', '24', '28', '38', '46', '48'):1
('07', '08', '10', '20', '30', '40'):1
('01', '04', '17', '25', '29', '37'):1
('09', '11', '14', '26', '39', '48'):1
('12', '25', '35', '36', '38', '44'):1
('12', '15', '20', '36', '37', '44'):1
('01', '22', '24', '25', '26', '32'):1
('11', '18', '25', '27', '35', '48'):1
('11', '24', '26', '33', '40', '44'):1
('02', '11', '34', '43', '47', '49'):1
('03', '12', '34', '40', '41', '43'):1
('06', '10', '21', '36', '44', '48'):1
('11', '14', '24', '28', '45', '48'):1
('02', '08', '18', '25', '30', '41'):1
('02', '26', '39', '40', '45', '47'):1
('02', '15', '27', '33', '45', '49'):1
('03', '10', '12', '18', '19', '22'):1
('14', '18', '32', '38', '40', '44'):1
('07', '24', '35', '36', '46', '49'):1
('02', '07', '08', '10', '39', '49'):1
('02', '05', '21', '22', '26', '39'):1
('14', '22', '28', '37', '40', '41'):1
('08', '13', '22', '25', '28', '46'):1
('10', '13', '15', '20', '28', '30'):1
('16', '24', '27', '41', '48', '49'):1
('13', '15', '24', '27', '29', '43'):1
('26', '31', '38', '41', '47', '49'):1
('02', '08', '17', '28', '37', '42'):1
('03', '16', '32', '36', '40', '43'):1
('14', '18', '25', '27', '29', '46'):1
('02', '14', '18', '30', '31', '36'):1
('23', '32', '34', '38', '42', '45'):1
('01', '07', '16', '22', '31', '36'):1
('06', '11', '12', '13', '20', '31'):1
('14', '15', '29', '30', '32', '43'):1
('06', '12', '15', '19', '33', '43'):1
('01', '12', '15', '21', '26', '41'):1
('03', '07', '18', '20', '34', '37'):1
('04', '14', '21', '28', '30', '46'):1
('01', '08', '15', '20', '25', '36'):1
('11', '17', '23', '29', '31', '47'):1
('03', '12', '20', '28', '41', '42'):1
('13', '15', '17', '24', '33', '41'):1
('09', '22', '33', '37', '43', '48'):1
('21', '28', '31', '33', '37', '46'):1
('05', '12', '15', '39', '48', '49'):1
('05', '07', '09', '15', '22', '46'):1
('10', '26', '27', '35', '36', '42'):1
('06', '29', '36', '45', '47', '48'):1
('01', '05', '13', '14', '24', '28'):1
('05', '23', '36', '38', '39', '47'):1
('04', '10', '28', '36', '39', '42'):1
('01', '04', '10', '28', '29', '40'):1
('02', '03', '05', '11', '38', '39'):1
('05', '06', '09', '16', '33', '36'):1
('03', '13', '18', '21', '27', '37'):1
('01', '17', '20', '29', '38', '39'):1
('05', '28', '29', '38', '44', '45'):1
('01', '11', '26', '34', '42', '49'):1
('03', '12', '21', '27', '39', '43'):1
('02', '05', '08', '20', '40', '43'):1
('01', '05', '15', '23', '25', '28'):1
('02', '14', '15', '17', '23', '48'):1
('04', '10', '14', '22', '37', '46'):1
('08', '11', '14', '37', '39', '40'):1
('08', '11', '22', '31', '33', '47'):1
('11', '16', '24', '25', '31', '35'):1
('07', '14', '20', '29', '31', '32'):1
('04', '23', '24', '30', '33', '48'):1
('03', '07', '22', '24', '27', '44'):1
('02', '03', '04', '05', '13', '44'):1
('13', '14', '18', '20', '33', '45'):1
('26', '30', '34', '38', '39', '41'):1
('06', '15', '17', '19', '20', '30'):1
('06', '10', '25', '28', '32', '37'):1
('05', '07', '17', '19', '21', '42'):1
('01', '11', '19', '26', '35', '47'):1
('01', '05', '08', '26', '40', '48'):1
('16', '17', '18', '19', '21', '32'):1
('09', '11', '13', '28', '33', '40'):1
('07', '08', '14', '18', '43', '44'):1
('05', '08', '19', '34', '35', '47'):1
('01', '02', '04', '20', '33', '48'):1
